Camera;Microscope;Objective Lens;Magnification;Image Width;Image Height;Pixel Distance;Scale;Unit
Canon EOS RP;Zeiss Axio Scope A1;Neofluar 2.5x;2.5x;6240;4160;1119;1000;µm
Canon EOS RP;Zeiss Axio Scope A1;Apochromat 5x;5x;6240;4160;1078;500;µm
Canon EOS RP;Zeiss Axio Scope A1;Apochromat 10x;10x;6240;4160;865;200;µm
Canon EOS RP;Zeiss Axio Scope A1;Apochromat 20x;20x;6240;4160;860;100;µm
Canon EOS RP;Zeiss Axio Scope A1;Neofluar 40x;40x;6240;4160;866;50;µm
Canon EOS RP;Zeiss Axio Scope A1;Apochromat 40x;40x;6240;4160;873;50;µm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;0.65x;6240;4160;1107;4;mm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;0.80x;6240;4160;702;2;mm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;1.00x;6240;4160;886;2;mm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;1.25x;6240;4160;556;1000;µm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;1.60x;6240;4160;704;1000;µm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;2.00x;6240;4160;897;1000;µm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;2.50x;6240;4160;1130;1000;µm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;3.20x;6240;4160;739;500;µm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;4.00x;6240;4160;913;500;µm
Canon EOS RP;Zeiss Stemi 2000-C;Zeiss Stemi 2000-C;5.00x;6240;4160;1123;500;µm
Canon EOS RP;MP-E;MP-E 65mm f/2.8;1x;6240;4160;870;5;mm
Canon EOS RP;MP-E;MP-E 65mm f/2.8;2x;6240;4160;653;2;mm
Canon EOS RP;MP-E;MP-E 65mm f/2.8;3x;6240;4160;993;2;mm
Canon EOS RP;MP-E;MP-E 65mm f/2.8;4x;6240;4160;672;1000;µm
Canon EOS RP;MP-E;MP-E 65mm f/2.8;5x;6240;4160;835;1000;µm
Canon EOS RP;Laowa;Laowa 25mm f/2.8;2.5x;6240;4160;900;2;mm
Canon EOS RP;Laowa;Laowa 25mm f/2.8;3.0x;6240;4160;1021;2;mm
Canon EOS RP;Laowa;Laowa 25mm f/2.8;3.5x;6240;4160;597;1;mm
Canon EOS RP;Laowa;Laowa 25mm f/2.8;4.0x;6240;4160;681;1;mm
